study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB12357	SAMEA3882550	ERX1368765	ERR1297433	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/003/ERR1297433/ERR1297433.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297433/FAT_024-22-2-0_13s000056-2-1_lane1.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882510	ERX1368766	ERR1297434	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/004/ERR1297434/ERR1297434.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297434/FAT_008-22-2-0_13s000123-1-1_lane6.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882511	ERX1368767	ERR1297435	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/005/ERR1297435/ERR1297435.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297435/FAT_008-22-42-0_13s000031-1-1_lane5.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882509	ERX1368768	ERR1297436	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/006/ERR1297436/ERR1297436.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297436/FAT_008-22-14-0_13s000062-1-1_lane5.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882538	ERX1368769	ERR1297437	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/007/ERR1297437/ERR1297437.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297437/FAT_020-22-0-0_13s000115-2-1_lane8.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882535	ERX1368770	ERR1297438	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/008/ERR1297438/ERR1297438.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297438/FAT_017-22-2-0_13s000082-2-1_lane2.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882524	ERX1368771	ERR1297439	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/009/ERR1297439/ERR1297439.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297439/FAT_014-22-14-0_13s000104-1-1_lane6.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882547	ERX1368772	ERR1297440	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/000/ERR1297440/ERR1297440.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297440/FAT_023-22-84-0_13s000066-2-1_lane7.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882533	ERX1368773	ERR1297441	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/001/ERR1297441/ERR1297441.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297441/FAT_017-22-0-0_13s000127-2-1_lane7.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882516	ERX1368774	ERR1297442	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/002/ERR1297442/ERR1297442.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297442/FAT_010-22-42-0_13s000037-2-1_lane3.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882526	ERX1368775	ERR1297443	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/003/ERR1297443/ERR1297443.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297443/FAT_014-22-42-0_13s000046-2-1_lane3.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882546	ERX1368776	ERR1297444	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/004/ERR1297444/ERR1297444.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297444/FAT_023-22-42-0_13s000085-1-1_lane6.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882531	ERX1368777	ERR1297445	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/005/ERR1297445/ERR1297445.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297445/FAT_015-22-42-0_13s000035-2-1_lane7.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882508	ERX1368778	ERR1297446	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/006/ERR1297446/ERR1297446.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297446/FAT_008-22-0-0_13s000074-2-1_lane7.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882515	ERX1368779	ERR1297447	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/007/ERR1297447/ERR1297447.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297447/FAT_010-22-2-0_13s000032-2-1_lane8.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882551	ERX1368780	ERR1297448	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/008/ERR1297448/ERR1297448.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297448/FAT_024-22-42-0_13s000044-1-1_lane1.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882512	ERX1368781	ERR1297449	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/009/ERR1297449/ERR1297449.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297449/FAT_008-22-84-0_13s000075-1-1_lane6.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882547	ERX1368782	ERR1297450	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/000/ERR1297450/ERR1297450.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297450/FAT_023-22-84-0_13s000066-2-1_lane8.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882523	ERX1368783	ERR1297451	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/001/ERR1297451/ERR1297451.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297451/FAT_014-22-0-0_13s000101-2-1_lane8.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882544	ERX1368784	ERR1297452	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/002/ERR1297452/ERR1297452.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297452/FAT_023-22-14-0_13s000129-2-1_lane1.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882542	ERX1368785	ERR1297453	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/003/ERR1297453/ERR1297453.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297453/FAT_020-22-84-0_13s000045-1-1_lane1.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882533	ERX1368786	ERR1297454	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/004/ERR1297454/ERR1297454.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297454/FAT_017-22-0-0_13s000127-1-1_lane5.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882537	ERX1368787	ERR1297455	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/005/ERR1297455/ERR1297455.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297455/FAT_017-22-84-0_13s000114-1-1_lane5.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882516	ERX1368788	ERR1297456	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/006/ERR1297456/ERR1297456.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297456/FAT_010-22-42-0_13s000037-2-1_lane2.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882521	ERX1368789	ERR1297457	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/007/ERR1297457/ERR1297457.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297457/FAT_012-22-42-0_13s000054-1-1_lane1.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882510	ERX1368790	ERR1297458	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/008/ERR1297458/ERR1297458.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297458/FAT_008-22-2-0_13s000123-2-1_lane7.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882503	ERX1368791	ERR1297459	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/009/ERR1297459/ERR1297459.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297459/FAT_006-22-0-0_13s000090-2-1_lane7.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882515	ERX1368792	ERR1297460	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/000/ERR1297460/ERR1297460.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297460/FAT_010-22-2-0_13s000032-2-1_lane7.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882548	ERX1368793	ERR1297461	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/001/ERR1297461/ERR1297461.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297461/FAT_024-22-0-0_13s000091-1-1_lane6.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882542	ERX1368794	ERR1297462	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/002/ERR1297462/ERR1297462.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297462/FAT_020-22-84-0_13s000045-2-1_lane1.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882540	ERX1368795	ERR1297463	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/003/ERR1297463/ERR1297463.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297463/FAT_020-22-2-0_13s000118-1-1_lane6.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882531	ERX1368796	ERR1297464	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/004/ERR1297464/ERR1297464.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297464/FAT_015-22-42-0_13s000035-1-1_lane5.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882520	ERX1368797	ERR1297465	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/005/ERR1297465/ERR1297465.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297465/FAT_012-22-2-0_13s000099-1-1_lane5.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882504	ERX1368798	ERR1297466	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/006/ERR1297466/ERR1297466.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297466/FAT_006-22-14-0_13s000131-1-1_lane6.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882535	ERX1368799	ERR1297467	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/007/ERR1297467/ERR1297467.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297467/FAT_017-22-2-0_13s000082-2-1_lane3.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882527	ERX1368800	ERR1297468	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/008/ERR1297468/ERR1297468.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297468/FAT_014-22-84-0_13s000107-1-1_lane5.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882522	ERX1368801	ERR1297469	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/009/ERR1297469/ERR1297469.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297469/FAT_012-22-84-0_13s000108-2-1_lane8.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882528	ERX1368802	ERR1297470	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/000/ERR1297470/ERR1297470.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297470/FAT_015-22-0-0_13s000057-1-1_lane6.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882531	ERX1368803	ERR1297471	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/001/ERR1297471/ERR1297471.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297471/FAT_015-22-42-0_13s000035-1-1_lane6.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882524	ERX1368804	ERR1297472	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/002/ERR1297472/ERR1297472.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297472/FAT_014-22-14-0_13s000104-1-1_lane5.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882541	ERX1368805	ERR1297473	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/003/ERR1297473/ERR1297473.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297473/FAT_020-22-42-0_13s000076-1-1_lane5.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882535	ERX1368806	ERR1297474	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/004/ERR1297474/ERR1297474.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297474/FAT_017-22-2-0_13s000082-1-1_lane2.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882548	ERX1368807	ERR1297475	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/005/ERR1297475/ERR1297475.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297475/FAT_024-22-0-0_13s000091-2-1_lane7.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882506	ERX1368808	ERR1297476	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/006/ERR1297476/ERR1297476.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297476/FAT_006-22-42-0_13s000077-1-1_lane5.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882505	ERX1368809	ERR1297477	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/007/ERR1297477/ERR1297477.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297477/FAT_006-22-2-0_13s000071-1-1_lane6.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882535	ERX1368810	ERR1297478	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/008/ERR1297478/ERR1297478.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297478/FAT_017-22-2-0_13s000082-1-1_lane3.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882525	ERX1368811	ERR1297479	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/009/ERR1297479/ERR1297479.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297479/FAT_014-22-2-0_13s000125-2-1_lane7.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882503	ERX1368812	ERR1297480	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/000/ERR1297480/ERR1297480.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297480/FAT_006-22-0-0_13s000090-1-1_lane6.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882519	ERX1368813	ERR1297481	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/001/ERR1297481/ERR1297481.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297481/FAT_012-22-14-0_13s000063-2-1_lane3.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882529	ERX1368814	ERR1297482	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/002/ERR1297482/ERR1297482.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297482/FAT_015-22-14-0_13s000111-1-1_lane6.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882512	ERX1368815	ERR1297483	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/003/ERR1297483/ERR1297483.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297483/FAT_008-22-84-0_13s000075-1-1_lane5.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882520	ERX1368816	ERR1297484	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/004/ERR1297484/ERR1297484.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297484/FAT_012-22-2-0_13s000099-2-1_lane7.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882541	ERX1368817	ERR1297485	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/005/ERR1297485/ERR1297485.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297485/FAT_020-22-42-0_13s000076-2-1_lane8.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882522	ERX1368818	ERR1297486	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/006/ERR1297486/ERR1297486.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297486/FAT_012-22-84-0_13s000108-1-1_lane6.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882543	ERX1368819	ERR1297487	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/007/ERR1297487/ERR1297487.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297487/FAT_023-22-0-0_13s000047-2-1_lane8.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882534	ERX1368820	ERR1297488	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/008/ERR1297488/ERR1297488.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297488/FAT_017-22-14-0_13s000069-2-1_lane7.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882505	ERX1368821	ERR1297489	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/009/ERR1297489/ERR1297489.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297489/FAT_006-22-2-0_13s000071-1-1_lane5.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882549	ERX1368822	ERR1297490	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/000/ERR1297490/ERR1297490.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297490/FAT_024-22-14-0_13s000034-2-1_lane1.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882521	ERX1368823	ERR1297491	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/001/ERR1297491/ERR1297491.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297491/FAT_012-22-42-0_13s000054-2-1_lane1.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882552	ERX1368824	ERR1297492	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/002/ERR1297492/ERR1297492.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297492/FAT_024-22-84-0_13s000113-1-1_lane3.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882528	ERX1368825	ERR1297493	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/003/ERR1297493/ERR1297493.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297493/FAT_015-22-0-0_13s000057-2-1_lane8.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882536	ERX1368826	ERR1297494	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/004/ERR1297494/ERR1297494.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297494/FAT_017-22-42-0_13s000068-2-1_lane7.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882517	ERX1368827	ERR1297495	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/005/ERR1297495/ERR1297495.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297495/FAT_010-22-84-0_13s000053-1-1_lane6.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882514	ERX1368828	ERR1297496	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/006/ERR1297496/ERR1297496.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297496/FAT_010-22-14-0_13s000119-2-1_lane7.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882518	ERX1368829	ERR1297497	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/007/ERR1297497/ERR1297497.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297497/FAT_012-22-0-0_13s000095-2-1_lane7.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882526	ERX1368830	ERR1297498	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/008/ERR1297498/ERR1297498.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297498/FAT_014-22-42-0_13s000046-2-1_lane1.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882544	ERX1368831	ERR1297499	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/009/ERR1297499/ERR1297499.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297499/FAT_023-22-14-0_13s000129-2-1_lane2.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882555	ERX1368832	ERR1297500	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/000/ERR1297500/ERR1297500.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297500/FAT_DON_11-22-0-6_13s000061-1-1_lane6.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882518	ERX1368833	ERR1297501	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/001/ERR1297501/ERR1297501.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297501/FAT_012-22-0-0_13s000095-1-1_lane5.screened.adapter.screened.hg19.single.fq.gz	
PRJEB12357	SAMEA3882503	ERX1368834	ERR1297502	408170	human gut metagenome	ftp.ebi.ac.uk/vol1/fastq/ERR129/002/ERR1297502/ERR1297502.fastq.gz	ftp.ebi.ac.uk/vol1/run/ERR129/ERR1297502/FAT_006-22-0-0_13s000090-1-1_lane5.screened.adapter.screened.hg19.single.fq.gz	
